stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,wheelchair_boarding,platform_code
34,34,Chicago Ave S & 8th St S,Farside S,44.971095,-93.262426,https://www.metrotransit.org/nextrip/34,0,1,
36,36,Chicago Ave S & 14th St E,Nearside S,44.969039,-93.262632,https://www.metrotransit.org/nextrip/36,0,1,
37,37,Chicago Ave S & 15th St E,Nearside S,44.968187,-93.262634,https://www.metrotransit.org/nextrip/37,0,1,
39,39,Chicago Ave S & 17th St E,Nearside S,44.966423,-93.262641,https://www.metrotransit.org/nextrip/39,0,1,
40,40,Chicago Ave S & 18th St E,Farside S,44.964945,-93.262638,https://www.metrotransit.org/nextrip/40,0,1,
42,42,Chicago Ave S & Franklin Ave E,Nearside S,44.962877,-93.262661,https://www.metrotransit.org/nextrip/42,0,1,
43,43,Chicago Ave S & 22nd St E,Nearside S,44.961029,-93.262650,https://www.metrotransit.org/nextrip/43,0,1,
44,44,Chicago Ave S & 24th St E,Nearside S,44.959267,-93.262687,https://www.metrotransit.org/nextrip/44,0,1,
45,45,Chicago Ave S & 25th St E,Nearside S,44.957476,-93.262668,https://www.metrotransit.org/nextrip/45,0,1,
46,46,Chicago Ave S & 26th St E,Nearside S,44.955687,-93.262696,https://www.metrotransit.org/nextrip/46,0,1,
47,47,Chicago Ave S & 27th St E,Nearside S,44.953840,-93.262698,https://www.metrotransit.org/nextrip/47,0,1,
48,48,Chicago Ave S & 28th St E,Nearside S,44.952097,-93.262734,https://www.metrotransit.org/nextrip/48,0,1,
50,50,Chicago Ave S & 31st St E,Nearside S,44.946818,-93.262765,https://www.metrotransit.org/nextrip/50,0,1,
51,51,Chicago Ave S & 32nd St E,Nearside S,44.944832,-93.262729,https://www.metrotransit.org/nextrip/51,0,1,
52,52,Chicago Ave S & 33rd St E,Nearside S,44.943277,-93.262722,https://www.metrotransit.org/nextrip/52,0,1,
53,53,Chicago Ave S & 34th St E,Nearside S,44.941520,-93.262693,https://www.metrotransit.org/nextrip/53,0,1,
54,54,Chicago Ave S & 35th St E,Nearside S,44.939680,-93.262673,https://www.metrotransit.org/nextrip/54,0,1,
62,62,Chicago Ave S & 43rd St E,Nearside S,44.925239,-93.262616,https://www.metrotransit.org/nextrip/62,0,1,
63,63,Chicago Ave S & 44th St E,Nearside S,44.923472,-93.262655,https://www.metrotransit.org/nextrip/63,0,1,
64,64,Chicago Ave S & 45th St E,Nearside S,44.921701,-93.262674,https://www.metrotransit.org/nextrip/64,0,1,
65,65,Chicago Ave S & 46th St E,Nearside S,44.919892,-93.262684,https://www.metrotransit.org/nextrip/65,0,1,
66,66,Chicago Ave S & 47th St E,Nearside S,44.918028,-93.262705,https://www.metrotransit.org/nextrip/66,0,1,
67,67,Chicago Ave S & 48th St E,Nearside S,44.916690,-93.262726,https://www.metrotransit.org/nextrip/67,0,1,
68,68,Chicago Ave S & 49th St E,Nearside S,44.914394,-93.262740,https://www.metrotransit.org/nextrip/68,0,1,
69,69,Chicago Ave S & 50th St E,Nearside S,44.912608,-93.262769,https://www.metrotransit.org/nextrip/69,0,1,
